"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0D650","2019-09-18 00:00:00","97.000","69.000","2.000","24.700","0.810","1000.400","-99.000","0.500","-99.000","-99.000","-99.000","27.800","","23.800",""
"C0V630","2019-09-18 00:00:00","19.000","358.000","1.800","26.900","0.710","1008.400","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","26.000",""
"C0U910","2019-09-18 00:00:00","17.000","319.000","2.400","25.600","0.670","1009.000","-99.000","0.500","-99.000","-99.000","-99.000","28.500","","23.300",""
"C0U600","2019-09-18 00:00:00","10.000","91.000","0.700","24.500","0.830","1009.700","-99.000","0.000","-99.000","-99.000","-99.000","30.000","","22.800",""
"C0G820","2019-09-18 00:00:00","29.000","19.000","0.400","25.600","0.740","1004.200","-99.000","0.000","-99.000","-99.000","-99.000","33.600","","24.800",""
"C0R590","2019-09-18 00:00:00","72.000","351.000","0.600","26.700","0.990","1000.000","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","25.200",""
"C0A9E0","2019-09-18 00:00:00","26.000","69.000","1.700","26.800","0.680","1009.200","-99.000","1.500","-99.000","-99.000","-99.000","29.300","","24.600",""
"C0R480","2019-09-18 00:00:00","57.000","37.000","0.800","27.300","0.900","1001.800","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","25.300",""
"C0X300","2019-09-18 00:00:00","70.000","0.000","0.000","24.100","0.960","1000.500","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","23.800",""
"C0U970","2019-09-18 00:00:00","7.000","286.000","0.700","25.100","0.770","1011.300","-99.000","0.500","-99.000","-99.000","-99.000","29.900","","23.900",""
"C0M750","2019-09-18 00:00:00","10.000","36.000","2.700","25.800","0.720","1007.200","-99.000","0.000","-99.000","-99.000","-99.000","31.100","","24.500",""
"C0I110","2019-09-18 00:00:00","161.000","44.000","0.600","25.200","0.790","990.500","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","23.900",""
"C0V370","2019-09-18 00:00:00","74.000","0.000","0.100","25.000","1.000","1000.600","-99.000","2.500","-99.000","-99.000","-99.000","32.100","","24.600",""
"C0C690","2019-09-18 00:00:00","242.000","80.000","1.700","23.900","0.720","984.600","-99.000","4.500","-99.000","-99.000","-99.000","26.300","","22.500",""
"C0A540","2019-09-18 00:00:00","401.000","0.000","0.000","20.900","0.990","965.800","-99.000","5.500","-99.000","-99.000","-99.000","23.600","","20.100",""
"C0H950","2019-09-18 00:00:00","192.000","0.000","0.000","23.200","0.990","987.600","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","23.000",""
"C0O960","2019-09-18 00:00:00","112.000","0.000","0.000","25.200","0.920","995.800","-99.000","0.000","-99.000","-99.000","-99.000","30.600","","24.500",""
"C0AH10","2019-09-18 00:00:00","30.000","150.000","1.300","26.400","0.800","1007.300","-99.000","0.500","-99.000","-99.000","-99.000","28.900","","24.600",""
"C0R680","2019-09-18 00:00:00","13.000","20.000","1.000","27.200","-99.000","1007.200","-99.000","2.000","-99.000","-99.000","-99.000","30.100","","25.900",""
"C0X210","2019-09-18 00:00:00","38.000","24.000","0.900","25.400","0.810","1002.500","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","24.500",""
"C0D430","2019-09-18 00:00:00","87.000","57.000","0.400","25.200","0.780","999.200","-99.000","0.000","-99.000","-99.000","-99.000","30.200","","21.400",""
"C0AD30","2019-09-18 00:00:00","20.000","50.000","0.800","27.000","0.680","1007.600","-99.000","2.000","-99.000","-99.000","-99.000","29.700","","25.300",""
"C0R240","2019-09-18 00:00:00","87.000","41.000","0.500","25.100","0.960","998.100","-99.000","0.500","-99.000","-99.000","-99.000","32.900","","24.300",""
"C0ACA0","2019-09-18 00:00:00","25.000","335.000","0.400","25.600","0.770","1008.000","-99.000","1.500","-99.000","-99.000","-99.000","28.600","","24.300",""
"C0X260","2019-09-18 00:00:00","39.000","26.000","2.000","25.200","0.800","1004.500","-99.000","0.000","-99.000","-99.000","-99.000","32.400","","24.200",""
"C0K500","2019-09-18 00:00:00","12.000","26.000","2.000","25.600","0.690","1006.100","-99.000","0.000","-99.000","-99.000","-99.000","31.400","","24.100",""
"CM0010","2019-09-18 00:00:00","68.000","110.000","0.300","25.400","-99.000","1004.600","-99.000","3.000","-99.000","-99.000","-99.000","27.600","","24.000",""
"C0O990","2019-09-18 00:00:00","18.000","15.000","0.700","26.200","0.910","1006.100","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","24.800",""
"C0E430","2019-09-18 00:00:00","258.000","136.000","0.300","22.500","0.830","984.100","-99.000","0.000","-99.000","-99.000","-99.000","29.400","","19.400",""
"C0D390","2019-09-18 00:00:00","146.000","0.000","0.000","24.800","0.780","993.000","-99.000","0.000","-99.000","-99.000","-99.000","29.500","","23.000",""
"C0T9F0","2019-09-18 00:00:00","251.000","280.000","0.700","23.600","0.790","981.800","-99.000","0.000","-99.000","-99.000","-99.000","29.700","","22.700",""
"C0R350","2019-09-18 00:00:00","35.000","41.000","3.200","27.200","0.740","1004.400","-99.000","0.000","-99.000","-99.000","-99.000","30.700","","25.300",""
"C0K550","2019-09-18 00:00:00","15.000","5.000","1.300","25.600","0.700","1007.100","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","24.100",""
"C0C670","2019-09-18 00:00:00","250.000","50.000","2.900","23.400","0.830","983.600","-99.000","0.000","-99.000","-99.000","-99.000","26.400","","22.300",""
"C0A980","2019-09-18 00:00:00","11.000","228.000","0.400","24.900","0.780","1011.200","-99.000","0.500","-99.000","-99.000","-99.000","29.200","","23.600",""
"C0UA60","2019-09-18 00:00:00","566.000","331.000","3.500","22.700","0.650","947.300","-99.000","0.000","-99.000","-99.000","-99.000","27.800","","21.000",""
"C0V720","2019-09-18 00:00:00","15.000","216.000","0.900","29.500","0.740","1006.400","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","26.800",""
"C0C480","2019-09-18 00:00:00","105.000","0.000","0.000","24.900","0.820","999.800","-99.000","0.000","-99.000","-99.000","-99.000","30.400","","23.700",""
"C0S900","2019-09-18 00:00:00","27.000","341.000","7.600","28.100","0.740","1005.900","-99.000","0.000","16.400","335.000","","29.500","","27.700",""
"C0SA00","2019-09-18 00:00:00","466.000","285.000","1.700","22.100","1.000","957.400","-99.000","0.000","-99.000","-99.000","-99.000","28.100","","21.800",""
"C0V730","2019-09-18 00:00:00","33.000","67.000","0.600","28.500","0.940","1005.000","-99.000","0.000","-99.000","-99.000","-99.000","32.400","","26.300",""
"C0G730","2019-09-18 00:00:00","27.000","19.000","4.100","25.600","0.740","1006.100","-99.000","0.000","-99.000","-99.000","-99.000","30.900","","23.500",""
"C0Z300","2019-09-18 00:00:00","182.000","22.000","0.400","23.000","0.990","991.500","-99.000","0.000","-99.000","-99.000","-99.000","29.800","","21.800",""
"C0H9A0","2019-09-18 00:00:00","1595.000","0.000","0.000","16.600","0.990","844.600","-99.000","0.500","-99.000","-99.000","-99.000","25.000","","15.300",""
"C0S840","2019-09-18 00:00:00","22.000","277.000","2.000","25.100","0.880","1008.100","-99.000","0.000","-99.000","-99.000","-99.000","31.100","","24.100",""
"C0Z150","2019-09-18 00:00:00","27.000","245.000","3.200","25.200","0.860","1007.300","-99.000","0.000","-99.000","-99.000","-99.000","30.300","","23.600",""
"C0W170","2019-09-18 00:00:00","42.000","42.000","7.000","26.800","0.680","1006.800","-99.000","0.000","12.500","43.000","","27.800","","25.400",""
"C0E540","2019-09-18 00:00:00","32.000","40.000","3.500","25.700","0.770","1006.100","-99.000","0.000","-99.000","-99.000","-99.000","29.100","","22.700",""
"C0D660","2019-09-18 00:00:00","65.000","63.000","3.200","25.500","0.770","1003.300","-99.000","0.000","-99.000","-99.000","-99.000","28.500","","24.800",""
"C0U650","2019-09-18 00:00:00","442.000","273.000","1.300","22.900","0.680","963.000","-99.000","0.000","-99.000","-99.000","-99.000","27.400","","21.500",""
"C0G810","2019-09-18 00:00:00","26.000","357.000","1.500","26.200","0.720","1004.600","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","25.500",""
"C0F9Z0","2019-09-18 00:00:00","3193.000","6.000","3.400","8.100","0.620","697.300","-99.000","0.000","-99.000","-99.000","-99.000","16.000","","7.900",""
"C0M410","2019-09-18 00:00:00","245.000","348.000","1.400","23.800","1.000","977.500","-99.000","0.500","-99.000","-99.000","-99.000","31.800","","22.800",""
"C0I410","2019-09-18 00:00:00","180.000","268.000","0.300","24.900","0.810","987.800","-99.000","0.000","-99.000","-99.000","-99.000","31.500","","23.900",""
"C0K250","2019-09-18 00:00:00","12.000","22.000","3.000","25.200","0.730","1007.200","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","23.300",""
"C0AH80","2019-09-18 00:00:00","68.000","0.000","0.000","23.600","0.930","1003.800","-99.000","4.500","-99.000","-99.000","-99.000","27.000","","22.800",""
"C0V640","2019-09-18 00:00:00","35.000","355.000","1.700","27.800","0.790","1004.400","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","26.000",""
"C0S920","2019-09-18 00:00:00","98.000","315.000","0.500","24.100","0.840","993.400","-99.000","0.000","-99.000","-99.000","-99.000","30.800","","24.100",""
"C0S830","2019-09-18 00:00:00","288.000","332.000","2.800","25.400","0.630","978.700","-99.000","0.000","8.100","346.000","","29.800","","23.800",""
"C0V800","2019-09-18 00:00:00","256.000","307.000","1.200","24.800","0.940","978.200","-99.000","0.500","-99.000","-99.000","-99.000","33.100","","24.200",""
"C0R140","2019-09-18 00:00:00","740.000","66.000","0.600","23.100","0.750","929.700","-99.000","0.000","-99.000","-99.000","-99.000","27.900","","21.400",""
"C0K410","2019-09-18 00:00:00","20.000","19.000","2.800","25.800","0.670","1005.300","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","24.400",""
"C0F000","2019-09-18 00:00:00","273.000","47.000","2.500","24.200","0.870","976.400","-99.000","0.000","-99.000","-99.000","-99.000","30.200","","22.700",""
"C0W150","2019-09-18 00:00:00","42.000","56.000","4.800","27.500","0.700","1007.200","-99.000","0.000","-99.000","-99.000","-99.000","32.300","","27.100",""
"C0AH90","2019-09-18 00:00:00","660.000","0.000","0.200","19.100","0.990","941.500","-99.000","0.500","-99.000","-99.000","-99.000","26.100","","15.700",""
"C0F9K0","2019-09-18 00:00:00","30.000","47.000","4.000","25.700","0.740","1004.000","-99.000","0.000","-99.000","-99.000","-99.000","29.000","","23.800",""
"C0H990","2019-09-18 00:00:00","3076.000","55.000","0.700","8.800","0.640","706.200","-99.000","0.000","-99.000","-99.000","-99.000","17.700","","8.400",""
"C0V260","2019-09-18 00:00:00","126.000","102.000","1.000","25.700","0.950","994.500","-99.000","0.000","-99.000","-99.000","-99.000","34.600","","25.000",""
"C0S970","2019-09-18 00:00:00","19.000","292.000","2.100","25.400","0.790","1006.500","-99.000","0.000","-99.000","-99.000","-99.000","29.700","","25.100",""
"C0U940","2019-09-18 00:00:00","25.000","252.000","1.500","24.000","0.810","1009.400","-99.000","0.000","-99.000","-99.000","-99.000","29.400","","22.900",""
